#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
PONTIFEX_FOA;Your Holiness;;;;;;;;;;;;;x
d_pontifex_dawn;Pontificate Maxinimus;;;;;;;;;;;;;x
d_pontifex_dawn_adj;Pontifical;;;;;;;;;;;;;x
d_ascendant_blood;Ascendant;;;;;;;;;;;;;x
d_ascendant_blood_adj;Awoken;;;;;;;;;;;;;x
k_priest_snake;Priesthood of Dahaka;;;;;;;;;;;;;x
k_priest_snake_adj;Snake;;;;;;;;;;;;;x
k_saint_solaire;Saint Solaire;;;;;;;;;;;;;x
k_saint_solaire_adj;Solaire;;;;;;;;;;;;;x
d_herald_veluath;Herald of Veluath;;;;;;;;;;;;;x
d_herald_veluath_adj;Apostolic;;;;;;;;;;;;;x

k_knights_dawn;Order of the Dawn;;;;;;;;;;;;;x
k_knights_dawn_adj;Holy;;;;;;;;;;;;;x
